,shop_name,shop_address,shop_lat,shop_lng,types
0,Kroger,"800 Monroe St, Nashville, TN 37208",36.1758803,-86.7942479,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
1,Kroger,"3930 Clarksville Pike, Nashville, TN 37218",36.2098477,-86.837724,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
2,Kroger,"711 Gallatin Ave, Nashville, TN 37206",36.1844297,-86.7468566,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
3,Kroger,"2201 21st Ave S, Nashville, TN 37212",36.1301887,-86.80261089999999,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
4,Kroger,"2131 Abbott Martin Rd, Nashville, TN 37215",36.1056803,-86.81846379999999,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
5,Kroger,"5705 Charlotte Pike, Nashville, TN 37209",36.148431,-86.86076120000001,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
6,Kroger,"3410 Gallatin Pike, Nashville, TN 37216",36.2101364,-86.73166479999999,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
7,Kroger,"4560 Harding Pike, Nashville, TN 37205",36.1239257,-86.850561,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
8,Kroger,"2615 Franklin Pike, Nashville, TN 37204",36.1199446,-86.7771798,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
9,Kroger,"61 E Thompson Ln, Nashville, TN 37211",36.1098179,-86.7250687,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
10,Kroger,"143 McGavock Pk, Nashville, TN 37214",36.1708586,-86.6787306,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
11,Kroger,"2284 Murfreesboro Pike, Nashville, TN 37217",36.088656,-86.64715430000001,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
12,Kroger,"7087 Hwy 70 S, Nashville, TN 37221",36.0732005,-86.9195872,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
13,Kroger Pharmacy,"800 Monroe St, Nashville, TN 37208",36.1758339,-86.79426939999999,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"
14,Kroger,"5713 Edmondson Pike, Nashville, TN 37211",36.0391811,-86.7454053,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
15,Kroger,"5771 Nolensville Road, Nashville, TN 37211",36.04639470000001,-86.7152435,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
16,Kroger,"200 Gallatin Pike S, Madison, TN 37115",36.2619921,-86.7141247,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
17,Kroger Bakery,"800 Monroe St, Nashville, TN 37208",36.17581759999999,-86.7943574,"['bakery', 'food', 'point_of_interest', 'store', 'establishment']"
18,Kroger,"5319 Mt View Rd, Antioch, TN 37013",36.0496212,-86.64709859999999,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
19,Kroger,"4400 Lebanon Pike, Hermitage, TN 37076",36.216449,-86.6039243,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
20,Kroger,"8141 TN-100, Nashville, TN 37221",36.0433407,-86.9565322,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
21,Kroger Pharmacy,"3930 Clarksville Hwy, Nashville, TN 37218",36.20959819999999,-86.83759239999999,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"
22,Kroger,"5544 Old Hickory Blvd, Hermitage, TN 37076",36.1817617,-86.6048615,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
23,Kroger Pharmacy,"711 Gallatin Ave, Nashville, TN 37206",36.1839542,-86.7472714,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"
24,Kroger Pharmacy,"2131 Abbott Martin Rd, Nashville, TN 37215",36.1058827,-86.8186983,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"
25,Kroger,"123 Northcreek Blvd, Goodlettsville, TN 37072",36.3264684,-86.6986158,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
26,Kroger Pharmacy,"2201 21st Ave S, Nashville, TN 37212",36.13016500000001,-86.8024823,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"
