,shop_name,shop_address,shop_lat,shop_lng,types
0,El Fuego Restaurant,"3917 Gallatin Pike, Nashville, TN 37216",36.2177111,-86.7289842,"['restaurant', 'food', 'point_of_interest', 'establishment']"
1,El Jaliciense Méxican Restaurant,"3225 Gallatin Pike, Nashville, TN 37216",36.207278,-86.736222,"['restaurant', 'food', 'point_of_interest', 'establishment']"
2,Chicago Style Gyros,"2804 Gallatin Pike #3713, Nashville, TN 37216",36.2003217,-86.7397587,"['restaurant', 'food', 'point_of_interest', 'establishment']"
3,Las Fiestas Cafe,"3623 Gallatin Pike, Nashville, TN 37216",36.2130518,-86.73195179999999,"['restaurant', 'food', 'point_of_interest', 'establishment']"
4,Juicy Seafood,"2616 Gallatin Pike, Nashville, TN 37216",36.1976142,-86.7409222,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']"
5,TKO,"4204 Gallatin Pike, Nashville, TN 37216",36.224419,-86.7253034,"['restaurant', 'food', 'point_of_interest', 'establishment']"
6,lou nashville,"1304 McGavock Pk, Nashville, TN 37216",36.2041756,-86.7252415,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
7,Los Nietos,"4701 Gallatin Pike, Nashville, TN 37216",36.2303517,-86.7253791,"['restaurant', 'food', 'point_of_interest', 'establishment']"
8,Las Maracas East,"2704 Gallatin Pike, Nashville, TN 37216",36.199353,-86.740405,"['restaurant', 'food', 'point_of_interest', 'establishment']"
9,Ghot Wingz,"2617 Gallatin Pike, Nashville, TN 37216",36.197825,-86.74208899999999,"['restaurant', 'food', 'point_of_interest', 'establishment']"
10,Shotgun Willie's BBQ,"4000 Gallatin Pike Suite B, Nashville, TN 37216",36.2197192,-86.726891,"['restaurant', 'food', 'point_of_interest', 'establishment']"
11,Primm's Appetit,"1104 Litton Ave, Nashville, TN 37216",36.2022617,-86.7387526,"['restaurant', 'food', 'point_of_interest', 'establishment']"
12,Fat Mo's No 1,"2608 Gallatin Pike, Nashville, TN 37216",36.197367,-86.74157699999999,"['restaurant', 'food', 'point_of_interest', 'establishment']"
13,Cook Out,"2910 Gallatin Pike, Nashville, TN 37216",36.2033251,-86.7381314,"['restaurant', 'food', 'point_of_interest', 'establishment']"
14,Bite a Bit Thai & Sushi,"1402 McGavock Pk, Nashville, TN 37216",36.2047189,-86.7239006,"['restaurant', 'food', 'point_of_interest', 'establishment']"
15,Flamies the hot chicken factory,"3231 Gallatin Pike, Nashville, TN 37216",36.2074928,-86.7361373,"['restaurant', 'food', 'point_of_interest', 'establishment']"
16,Dose,"1400 McGavock Pk, Nashville, TN 37216",36.204641,-86.724007,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']"
17,La fondita Express #2,"3710 Gallatin Pike, Nashville, TN 37216",36.2139413,-86.73036189999999,"['restaurant', 'food', 'point_of_interest', 'establishment']"
18,Wendy's,"3021 Gallatin Pike, Nashville, TN 37216",36.2046236,-86.7381995,"['restaurant', 'food', 'point_of_interest', 'establishment']"
19,Popeyes Louisiana Kitchen,"3012 Gallatin Pike, Nashville, TN 37216",36.2041003,-86.7377976,"['restaurant', 'food', 'point_of_interest', 'establishment']"
20,Domino's Pizza,"2610 Gallatin Pike, Nashville, TN 37216",36.1974942,-86.7411716,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']"
21,Castrillo's Pizza of Inglewood,"1404 McGavock Pk, Nashville, TN 37216",36.2047154,-86.72367919999999,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']"
22,Nicoletto's Italian Kitchen,"2905 Gallatin Pike, Nashville, TN 37216",36.2028412,-86.7392388,"['restaurant', 'food', 'point_of_interest', 'store', 'establishment']"
23,Totos Bbq express,"4150 Gallatin Pike, Nashville, TN 37216",36.223103,-86.72534,"['restaurant', 'food', 'point_of_interest', 'establishment']"
24,Wing Street,"2700 Gallatin Pike, Nashville, TN 37216",36.19894110000001,-86.7403016,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']"
25,Sonic Drive-In,"3910 Gallatin Pike, Nashville, TN 37216",36.2165379,-86.7285526,"['restaurant', 'food', 'point_of_interest', 'store', 'establishment']"
26,Papa Johns Pizza,"3604 Gallatin Pike, Nashville, TN 37216",36.2124359,-86.7312066,"['restaurant', 'food', 'point_of_interest', 'establishment']"
27,Taco Bell,"2904 Gallatin Pike, Nashville, TN 37216",36.2029738,-86.7383814,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']"
28,Flava Of Haiti,"2625 Gallatin Road Suite 1, Nashville, TN 37216",36.198726,-86.741638,"['restaurant', 'food', 'point_of_interest', 'establishment']"
29,Taqueria El Dollar #4,"3208 Gallatin Pike, Nashville, TN 37216",36.206572,-86.73604399999999,"['restaurant', 'food', 'point_of_interest', 'establishment']"
30,Pizza Hut,"2700 Gallatin Pike C, Nashville, TN 37216",36.1991266,-86.74033949999999,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']"
31,Little Caesars Pizza,"3304 Gallatin Pike, Nashville, TN 37216",36.209015,-86.73436,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']"
32,Speedy Cafe,"2600 Gallatin Pike, Nashville, TN 37216",36.1972246,-86.74161199999999,"['restaurant', 'food', 'point_of_interest', 'establishment']"
33,Captain D's,"3708 Gallatin Pike, Nashville, TN 37216",36.213791,-86.730705,"['restaurant', 'food', 'point_of_interest', 'establishment']"
34,Roma Pizza & Pasta Inglewood/East Nashville Largest Pizza In Nashville,"3803 Gallatin Pike, Nashville, TN 37216",36.214477,-86.730927,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']"
35,McDonald's,"2806 Gallatin Pike, Nashville, TN 37216",36.2006441,-86.7394192,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']"
36,Checkers,"3001 Gallatin Pike, Nashville, TN 37216",36.2039254,-86.7387342,"['restaurant', 'food', 'point_of_interest', 'establishment']"
37,Bill's Sandwich Palace,"4204 Gallatin Pike, Nashville, TN 37216",36.2244322,-86.72531029999999,"['restaurant', 'food', 'point_of_interest', 'establishment']"
38,Mitchell Delicatessen,"1306 McGavock Pk, Nashville, TN 37216",36.2042596,-86.7249449,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']"
39,Babo Korean Bar,"1601A Riverside Dr, Nashville, TN 37216",36.19562680000001,-86.7230562,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
